For each of the original names, this files finds
the most similiar counterpart in the new names dataset using the LCS algorithm,
a sequence similarity algorithm, and
finding any new names such that the new name is a subset of the original name or
the original name is a subset of the new name.Original Name: New Name (LCS), New Name (Sequence Similarity), [Subset Names]
Genese: Delinee, Delinee, []
Joellen: Daolelle, Daolelle, []
Shyla: Marresha, Vosha, []
Shyanna: Sharnnna, Layanna, []
Adilene: Canilee, Lailen, []
Christi: Sharite, Sharite, []
Keriann: Larianna, Larianna, []
Sadee: Nardeelle, Jadeel, []
Kya: Shakiyah, Naka, []
Galilea: Lalira, Aliea, []
Eloisa: Anielina, Lerisa, []
Jerrica: Marrica, Lerria, []
Harlee: Carlelle, Barlee, []
Makenzi: Makenia, Makenia, []
Stacee: Macelen, Macelen, []
Lyndsi: Karelynn, Alanda, []
Kiesha: Laiesha, Laiesha, []
Noma: Domelinea, Somja, []
Nahomi: Kathari, Anani, []
Ita: Samita, Samita, [, Samita, Mariarita]
Arlena: Marialeen, Karila, []
Izabella: Anielina, Hanell, []
Jazlene: Canilee, Laylee, []
Sherese: Markeste, Merelle, []
Prisilla: Marissia, Marissia, []
Tyanna: Layanna, Layanna, []
Jaylene: Laylee, Laylee, []
Marchelle: Carlelle, Carlelle, []
Tailyn: Jaclilyn, Jaclilyn, []
Shannon: Sharnnna, Sharnnna, []
Lake: Ellaline, Kacke, []
Sakina: Lakina, Lakina, []
Brynleigh: Cleoli, Dlbre, []
Henchy: Cenisha, Cenisha, []
Georgann: Daranina, Argana, []
Maeve: Canilee, Laylee, []
Elienai: Anielina, Anielina, []
Nanci: Anania, Anani, []
Marleen: Marialeen, Barlee, []
Chloey: Koley, Koley, []
Paizlee: Canilee, Canilee, []
Charline: Sharite, Sharite, []
Steffani: Carsiean, Carsiean, []
Suzy: Lakesza, Lakesza, []
Michie: Sharite, Micha, []
Carina: Marianua, Taria, []
Deanna: Daranina, Layanna, []
Kendra: Zenda, Zenda, []
Presleigh: Marresha, Merelle, []
Rowena: Domelinea, Rerena, []
Nicoletta: Natletta, Natletta, []
Marisha: Marresha, Sanisha, []
Laurene: Karelynn, Darren, []
Imelda: Anielina, Aliela, []
Vinnie: Davinne, Davinne, []
Harmoni: Sharoaen, Sharoaen, []
Lynn: Karelynn, Nenlynn, [, Karelynn, Nenlynn, Kacelynn]
Shanterria: Lasharia, Lasharia, []
Selin: Anielina, Delinee, []
Lainie: Ellaline, Ellaline, []
Ronette: Marianette, Korette, []
Hattie: Jattie, Jattie, []
Brittny: Marianette, Marianette, []
Kathe: Sharite, Kathah, []
Polina: Domelinea, Domelinea, []
Lillyann: Jaclilyn, Jaclilyn, []
Gentry: Nenlynn, Algena, []
Akshaya: Lasharia, Lasharia, []
Graciella: Aariela, Aariela, []
Julie: Aliea, Aliea, []
Shanee: Canilee, Auanee, []
Nohely: Narely, Koley, []
Nga: Marianua, Anan, []
Ayde: Laylee, Ladie, []
Taylin: Ellaline, Aralina, []
Carsyn: Karelynn, Jamesyn, []
Katelynne: Karelynn, Karelynn, []
Stacie: Sharite, Jarie, []
Jalisha: Sanisha, Sanisha, []
Pippa: Guida, Lima, []
Parisa: Marissia, Taria, []
Ova: Vosha, Vosha, []
Deanne: Betlande, Davinne, []
Nayah: Sianiyah, Sanarah, []
Micheline: Anieline, Anieline, []
Shakirah: Shakiyah, Shakiyah, []
Rayleigh: Marali, Marali, []
Chong: Sharoaen, Sharoaen, []
Reece: Nardeelle, Mareee, []
Katiana: Marianua, Marianua, []
Vermell: Merelle, Merelle, []
Wynema: Anielina, Keyna, []
Trudi: Kathari, Hatrie, []
Aubri: Marianua, Jarie, []
Jacki: Makenia, Kacke, []
Roiza: Marianua, Taria, []
Haven: Sharnen, Sharnen, []
Valborg: Lalira, Barbr, []
Najah: Sanarah, Sanarah, []
Alycia: Lalira, Lalira, []
Ashby: Marresha, Kathnyn, []
Calla: Lalira, Lalira, []
Rosann: Daranina, Daranina, []
Carla: Karila, Karila, []
Nikkole: Canilee, Canilee, []
Joell: Daolelle, Daolelle, []
Annetta: Karretta, Janesta, []
Azalee: Marialeen, Marialee, []
Yliana: Marianua, Alanda, []
Chandra: Alanda, Alanda, []
Shaquanna: Daranina, Layanna, []
Kalysta: Natletta, Laleya, []
Kaliyah: Sianiyah, Sianiyah, []
Nikisha: Sonisha, Sonisha, []
Enid: Zenda, Zenda, []
Celina: Anielina, Anielina, []
Adrianne: Marianee, Marianee, []
Keitha: Cenisha, Cenisha, []
Elanie: Betlande, Betlande, []
Lurdes: Marresha, Alles, []
Kandyce: Betlande, Betlande, []
Zaya: Kameya, Kayan, []
Paola: Lalira, Lalira, []
Gwenn: Karelynn, Algena, []
Ladawn: Alanda, Alanda, []
Amorette: Korette, Korette, []
Britnie: Marianie, Marianie, []
Blimie: Sinmie, Sinmie, []
Yen: Layreen, Layreen, []
Lucerito: Cleoli, Leris, []
Sandra: Alanda, Alanda, []
Sukhmani: Shanni, Shanni, []
Colbie: Koliee, Koliee, []
Van: Eevanay, Eevanay, [, Eevanay]
Miabella: Anielina, Hanell, []
Alita: Lalira, Lalira, []
Nilsa: Anielina, Kanisa, []
Lailah: Alariah, Alariah, []
Daisey: Narely, Jarie, []
Nyasia: Anaria, Anaria, []
Felisa: Anielina, Lerisa, []
Malayah: Alariah, Laleya, []
Aletha: Natletta, Natletta, []
Bernice: Marrice, Marrice, []
Lyda: Alanda, Alanda, []
Anabelle: Carlelle, Hanell, []
Tessie: Lateline, Lateline, []
Atiana: Marianua, Marianua, []
Toshie: Sharite, Vosha, []
Meranda: Marianua, Zenda, []
Merary: Kamerha, Kamerha, []
Avis: Kanisa, Kanisa, []
Khloie: Cleoli, Aliea, []
Iveth: Laiesha, Laiesha, []
Trula: Marianua, Karila, []
Mina: Domelinea, Camia, []
Hollie: Ellaline, Koliee, []
Jakelin: Lateline, Lateline, []
Lindy: Anielina, Alanda, []
Zamiya: Kameya, Camia, []
Ananda: Marianua, Alanda, []
Jeimy: Cleoli, Lima, []
Lynetta: Natletta, Natletta, []
Lauralee: Marialeen, Marialee, []
Audra: Guida, Maray, []
Makenzie: Makenia, Makenia, []
Marlie: Larilie, Larilie, []
Mindel: Domelinea, Domelinea, []
Tamie: Sharite, Jarie, []
Beckie: Anieline, Kacke, []
Annastasia: Lasharia, Janesta, []
Saisha: Sanisha, Sanisha, []
Aadya: Marianua, Maray, []
Naila: Anielina, Karila, []
Camilla: Zamelia, Camia, []
Carin: Marianua, Katrin, []
Sky: Shakiyah, Jamesyn, []
Lamees: Jamelle, Jamelle, []
Ashtin: Carsiean, Katrin, []
Samirah: Lalira, Samah, []
Tianna: Larianna, Larianna, []
Lyrik: Alariah, Alariah, []
Ariani: Marianie, Marianie, [, Marianie]
Nitza: Anielina, Kanisa, []
Odile: Canilee, Kille, []
Ayline: Ellaline, Ellaline, []
Mandi: Canilee, Santi, []
Alverda: Lalira, Lalira, []
Ramona: Marianua, Hrana, []
Oliwia: Domelinea, Aliea, []
Meggan: Kameya, Saman, []
Carolyne: Karelynn, Karelynn, []
Ruben: Karelynn, Korden, []
Louanne: Ellaline, Auanee, []
Andy: Alanda, Kaney, []
Dayra: Marianua, Marra, []
Jaiden: Carsiean, Lailen, []
Kenslee: Canilee, Canilee, []
Tynisa: Kanisa, Kanisa, []
Allyn: Jaclilyn, Jaclilyn, []
Breena: Layreen, Rerena, []
Albert: Natletta, Anbert, []
Courtney: Korette, Korette, []
Emmerson: Jamesyn, Jamesyn, []
Enriqueta: Marianua, Deria, []
Jacqulyn: Jaclilyn, Jaclilyn, []
Marizol: Karila, Karila, []
Angie: Canilee, Canilee, []
Shavon: Sharoaen, Sharoaen, []
Livia: Dliva, Dliva, []
Kiya: Shakiyah, Shakiyah, [, Shakiyah]
Santa: Janesta, Janesta, []
Georgeanna: Daranina, Argana, []
Lusine: Ellaline, Delinee, []
Simona: Marianua, Lima, []
Lyndee: Betlande, Delinee, []
Dailyn: Jaclilyn, Jaclilyn, []
Rosemarie: Sharite, Jarie, []
Laikyn: Ellaline, Alai, []
Bela: Anielina, Lesla, []
Kristal: Mariarita, Lerisa, []
Charlean: Carsiean, Sharnen, []
Roizy: Marianua, Jarie, []
Zoey: Koley, Koley, []
Katelyn: Karelynn, Karelynn, []
Adamari: Kathari, Kathari, []
Genessis: Cenisha, Cenisha, []
Kareen: Layreen, Layreen, []
Fatima: Kathnia, Kathnia, []
Avaleigh: Marali, Marali, []
Aarohi: Kathari, Kathari, []
Fairy: Lalira, Maray, []
Tsuyako: Latissa, Latissa, []
Nuha: Marianua, Auha, []
Laiyah: Alariah, Alariah, []
Bliss: Marissia, Latissa, []
Emberlee: Carlelle, Barlee, []
Tausha: Marresha, Sanisha, []
Izzabella: Anielina, Hanell, []
Caitlynn: Karelynn, Karelynn, []
Chiquita: Mariarita, Mariarita, []
Chris: Sharite, Leris, []
Lillie: Ellaline, Kille, []
Lyriq: Alariah, Alariah, []
Claretha: Marresha, Marresha, []
Adam: Alanda, Alanda, []
William: Anielina, Sirlia, []
Cheri: Sherrila, Sherrila, []
Orene: Korden, Korden, []
Karley: Narely, Narely, []
Aletheia: Natletta, Kathnia, []
Lera: Lalira, Aliea, []
Buelah: Lellah, Lellah, []
Loree: Korette, Korette, []
Tenille: Canilee, Kille, []
Rianna: Larianna, Larianna, [, Larianna, Karianna]
Violet: Canilee, Kille, []
Lanell: Hanell, Hanell, []
Ashlea: Marresha, Laleya, []
Lavinia: Alania, Alania, []
Jaelah: Zamelia, Lellah, []
Digna: Marianua, Ririna, []
Johanna: Sharnnna, Shannay, []
Dayleen: Laylee, Laylee, []
Shayne: Sharnen, Sharnen, []
Lavonna: Alanda, Alanda, []
Kyana: Sayana, Sayana, []
Maurine: Marianee, Jarie, []
Samayah: Samah, Samah, []
Myrtice: Marrice, Marrice, []
Kaelynn: Karelynn, Karelynn, []
Ceara: Marianua, Maray, []
Tyronda: Marianua, Zenda, []
Cassia: Marissia, Marissia, []
Cody: Korden, Koley, []
Makenzee: Canilee, Auanee, []
Mistie: Sharite, Samita, []
Nia: Anielina, Kanisa, [, Kathnia, Makenia, Anania, Alania]
Bertie: Martiea, Anbert, []
Yurani: Daranina, Daranina, []
Kathya: Kathari, Kathah, []
Merrilee: Sherrila, Larilee, []
Lida: Guida, Guida, []
Dwan: Guida, Anan, []
Lubertha: Natletta, Anbert, []
Banesa: Janesta, Janesta, []
India: Sianiyah, Guida, []
Leonor: Cleoli, Cleoli, []
Juliett: Natletta, Natletta, []
Allisson: Ellaline, Carlli, []
Kendal: Zenda, Zenda, []
Hadley: Nardeelle, Nadoey, []
Tomeka: Domelinea, Somja, []
Meg: Kameya, Kameya, []
Shaquan: Lasharia, Lasharia, []
Melodye: Betlande, Jamelle, []
Haidee: Sharite, Jadeel, []
Kenadie: Betlande, Ladie, []
Blima: Lalira, Lima, []
Penne: Karelynn, Delene, []
Marilin: Larilie, Larilie, []
Conception: Anielina, Doneli, []
Providence: Marrice, Koliee, []
Cleora: Cleoli, Aliea, []
Amen: Jamesyn, Jamesyn, []
Yvanna: Layanna, Layanna, []
Donella: Anielina, Hanell, []
Freedom: Carlelle, Barlee, []
Sherrell: Sherrila, Merelle, []
Alyza: Laleya, Laleya, []
Natalee: Martlee, Martlee, []
Oma: Domelinea, Somja, []
Faiga: Marianua, Taria, []
Ernest: Marianette, Janesta, []
Anjanette: Marianette, Marianette, []
Miracle: Macelen, Macelen, []
Cataleya: Natletta, Laleya, []
Sharman: Lasharia, Lasharia, []
Jerlean: Betlande, Reelea, []
Rivkah: Alariah, Alariah, []
Mariaelena: Marialeen, Marialeen, []
Fraida: Daranina, Aralina, []
Jhoana: Sharnnna, Phanisa, []
Kareemah: Marresha, Samah, []
Kandi: Makani, Makani, []
Naoma: Samah, Samah, []
Jalisa: Lalira, Lalira, []
Dayja: Kameya, Kayan, []
Cianna: Larianna, Larianna, []
Rayanne: Layanna, Layanna, []
Courtni: Auaria, Auaria, []
Evalynn: Karelynn, Nenlynn, []
Aymar: Kathari, Samah, []
Mackenna: Makenia, Makenia, []
Yaretzy: Narely, Narely, []
Hina: Marianua, Ririna, []
Elfrieda: Domelinea, Aliea, []
Lisseth: Sonisha, Aliea, []
Terrie: Marrice, Hatrie, []
Jeanmarie: Dilanarie, Dilanarie, []
Marcy: Narely, Maray, []
Maribella: Aariela, Aariela, []
Essie: Carsiean, Delinee, []
Jannet: Davinne, Davinne, []
Leonela: Alexandel, Alexandel, []
Ranisha: Sanisha, Sanisha, []
Charles: Sharite, Barlee, []
Angelly: Hanell, Hanell, []
Hollyn: Jaclilyn, Jaclilyn, []
Trena: Mariahena, Rerena, []
Aggie: Sharite, Jarie, []
Roxana: Marianua, Hrana, []
Adrianna: Larianna, Larianna, []
Denyse: Korden, Korden, []
Michaela: Anielina, Micha, []
Shaye: Sharite, Vosha, []
Mckayla: Lalira, Kayan, []
Marline: Ellaline, Larilie, []
Jihan: Marianua, Micha, []
December: Nardeelle, Nardeelle, []
Nickie: Anieline, Anieline, []
Anaiyah: Sianiyah, Sianiyah, []
Myla: Kameya, Kameya, []
Charmayne: Marianee, Sharnen, []
Ardyce: Marrice, Marrice, []
Elna: Anielina, Zenda, []
Lorayne: Ellaline, Ellaline, []
Alisson: Ellaline, Aralina, []
Debrah: Lellah, Deria, []
Paizley: Canilee, Lailen, []
Athena: Kathnia, Kathnia, []
Chelsey: Macelen, Macelen, []
Leilene: Delene, Delene, []
Brittani: Marianie, Marianie, []
Anahy: Sianiyah, Shannay, []
Tennie: Lateline, Lateline, []
Shaelynn: Karelynn, Karelynn, []
Dottie: Korette, Jattie, []
Marla: Karila, Karila, []
Lottie: Korette, Jattie, []
Hayle: Laylee, Laylee, []
Emari: Marianua, Jarie, []
Christelle: Carielle, Carielle, []
Kari: Marianua, Jarie, []
Zissel: Risela, Risela, []
Mitsuko: Samita, Samita, []
Emelin: Domelinea, Kameli, []
Giuseppina: Anielina, Anielina, []
Lila: Aliela, Aliela, []
Kemya: Kameya, Keyna, []
Velia: Anielina, Zamelia, []
Anistyn: Kanisa, Kanisa, []
Louise: Cleoli, Aliea, []
Dayanira: Sayana, Sayana, []
Khyla: Sherrila, Shaneya, []
Kaleigh: Cleoli, Cleoli, []
Dream: Marresha, Karera, []
Liz: Cleoli, Alai, []
Yoneko: Domelinea, Doneli, []
Malka: Lalira, Naka, []
Nadene: Anieline, Jadeel, []
Dimple: Canilee, Kille, []
Alvena: Natletta, Lailen, []
Vaida: Guida, Guida, []
Teonna: Zenda, Zenda, []
Falon: Karelynn, Caroon, []
Caylee: Laylee, Laylee, []
Leilah: Aliela, Aliela, []
Rebeka: Marresha, Barlee, []
Isabela: Risela, Risela, []
Jill: Kille, Kille, []
Alla: Lalira, Lalira, []
Charlena: Sharnnna, Sharnen, []
Korra: Marresha, Marra, []
Chiyeko: Sharite, Sharite, []
Carie: Sharite, Jarie, []
Hayli: Lalira, Lalira, []
Quiana: Marianua, Rianua, []
Molli: Cleoli, Cleoli, []
Brittnay: Marianua, Ririna, []
Shenna: Sharnnna, Shannay, []
Michel: Anielina, Micha, []
Teagan: Marianua, Saman, []
Marlowe: Carlelle, Barlee, []
Adelynne: Karelynn, Karelynn, []
Marnie: Marianie, Jarie, []
Elif: Cleoli, Cleoli, []
Aylene: Laylee, Laylee, []
Marcelline: Carlelle, Carlelle, []
Charis: Sharite, Sharia, []
Autumn: Kathnyn, Saman, []
Bernarda: Zenda, Zenda, []
Norah: Sanarah, Sanarah, []
Braylynn: Karelynn, Karelynn, []
Contina: Anielina, Sonisha, []
Maudry: Narely, Maray, []
Marrisa: Marresha, Kareria, []
Blayke: Laylee, Kacke, []
Dylann: Layanna, Layanna, []
Alize: Ellaline, Larilie, []
